year,month,event_date,brand,buy_price,sell_price,update_time
2024,202404,20240406,SJC,79.500,81.900,06/04/2024 11:12:08
2024,202404,20240406,PNJ,71.800,73.150,06/04/2024 11:12:08
2024,202404,20240405,SJC,79.300,81.400,05/04/2024 16:18:30
2024,202404,20240405,PNJ,70.800,72.100,05/04/2024 16:18:30
2024,202404,20240404,SJC,79.000,81.100,04/04/2024 15:31:22
2024,202404,20240404,PNJ,70.850,72.100,04/04/2024 15:31:22
2024,202404,20240403,SJC,78.900,80.900,03/04/2024 15:32:02
2024,202404,20240403,PNJ,70.300,71.550,03/04/2024 15:32:02
2024,202404,20240402,SJC,79.100,81.200,02/04/2024 14:08:43
2024,202404,20240402,PNJ,69.600,70.900,02/04/2024 14:08:43
2024,202404,20240401,SJC,78.300,80.800,01/04/2024 14:59:52
2024,202404,20240401,PNJ,69.600,70.850,01/04/2024 14:59:52
